"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0A560","2020-03-03 00:00:00","405.000","240.000","0.400","14.300","0.960","975.500","","0.000","-99.000","-99.000","-99.000","16.700","","13.200",""
"C0X190","2020-03-03 00:00:00","10.000","7.000","3.000","20.100","0.760","1018.000","","0.000","-99.000","-99.000","-99.000","25.300","","18.600",""
"C0S950","2020-03-03 00:00:00","415.000","289.000","0.300","16.100","0.970","973.400","","0.000","-99.000","-99.000","-99.000","20.300","","15.900",""
"C0A880","2020-03-03 00:00:00","6.000","37.000","0.500","16.600","0.830","1020.500","","5.500","-99.000","-99.000","-99.000","17.200","","14.600",""
"C0I530","2020-03-03 00:00:00","3014.000","237.000","5.600","2.400","0.880","703.400","","0.000","-99.000","-99.000","-99.000","8.500","","1.300",""
"C0M670","2020-03-03 00:00:00","43.000","8.000","1.200","18.200","0.740","1014.200","","0.000","-99.000","-99.000","-99.000","24.700","","17.400",""
"C0Z061","2020-03-03 00:00:00","174.000","0.000","0.200","16.700","0.990","1005.000","","5.500","-99.000","-99.000","-99.000","20.900","","16.400",""
"C0M730","2020-03-03 00:00:00","40.000","4.000","0.900","19.400","0.710","1014.300","","0.000","-99.000","-99.000","-99.000","28.400","","19.000",""
"C0U750","2020-03-03 00:00:00","398.000","34.000","3.700","13.500","1.000","975.100","","0.000","-99.000","-99.000","-99.000","13.600","","11.500",""
"C0A650","2020-03-03 00:00:00","287.000","41.000","1.600","13.600","0.990","989.000","","2.500","-99.000","-99.000","-99.000","15.300","","12.800",""
"C0K400","2020-03-03 00:00:00","65.000","344.000","0.600","17.700","0.830","1012.800","","0.000","-99.000","-99.000","-99.000","24.400","","17.500",""
"C0I370","2020-03-03 00:00:00","671.000","0.000","0.000","15.500","0.890","943.900","","0.000","-99.000","-99.000","-99.000","25.500","","14.200",""
"C0S750","2020-03-03 00:00:00","2280.000","272.000","0.900","4.700","1.000","776.800","","0.500","-99.000","-99.000","-99.000","9.900","","4.100",""
"C0R650","2020-03-03 00:00:00","29.000","353.000","1.500","22.000","0.980","1016.500","","0.000","-99.000","-99.000","-99.000","27.300","","20.200",""
"C0E740","2020-03-03 00:00:00","27.000","237.000","0.600","14.100","0.980","1011.300","","0.000","-99.000","-99.000","-99.000","21.500","","14.100",""
"C0AI20","2020-03-03 00:00:00","25.000","79.000","4.400","16.500","0.770","1019.600","","0.000","-99.000","-99.000","-99.000","17.200","","15.300",""
